"UserID","YOB","Gender","Income","HouseholdStatus","EducationLevel","Party","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024","votes","Age"
47,1989,"Female","under $25,000","Single (no kids)","High School Diploma","Independent","No","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","Yes","Yes","No","Art","Study first","Yes","Yes","No","Yes","Receiving","No","No","Idealist","No","No","Cool headed","Standard hours","No","Happy","No","Yes","No","No","A.M.","Yes","Start","Yes","No","Circumstances","No","Yes","Yes","Yes","No","TMI","No","Yes","Tunes","Technology","No","No","No","No","No","Demanding","No","PC","Yes","Cautious","Yes","Yes!","No","Socialize","No","In-person","No","Yes","Yes","Yes","Yay people!","No","No","No","Yes","No","Yes","No","No","No","No","Yes","No","Rent","Optimist","Mom","No","No","Yes","Yes","Nope","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No",95,25
54,1979,"Male","$100,001 - $150,000","Married (w/kids)","Doctoral Degree","Independent","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","Yes","Yes","Yes","Yes","Yes","Science","Try first","No","No","Yes","No","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Standard hours","No","Happy","No","Yes","Yes","Yes","P.M.","Yes","End","Yes","Yes","Me","Yes","No","Yes","No","No","Mysterious","Yes","No","Tunes","People","No","Yes","Yes","No","Yes","Supportive","Yes","Mac","Yes","Risk-friendly","No","Umm...","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","Own","Pessimist","Mom","Yes","Yes","Yes","No","Nope","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes",101,35
55,1983,"Female","over $150,000","Single (no kids)","Master's Degree","Republican","Yes","No","No","Yes","No","Yes","Public","No","No","Yes","Yes","No","Yes","Yes","Science","Try first","Yes","No","Yes","No","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","Start","No","Yes","Me","No","Yes","Yes","Yes","No","TMI","No","Yes","Tunes","People","Yes","No","Yes","Yes","Yes","Demanding","No","Mac","No","Risk-friendly","Yes","Umm...","No","Space","No","Online","No","No","Yes","No","Grrr people","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Own","Optimist","Dad","Yes","Yes","Yes","Yes","Check!","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes",20,31
60,1997,"Male","$100,001 - $150,000","Single (no kids)","Current K-12","Republican","No","Yes","No","No","Yes","Yes","Private","Yes","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","Yes","Yes","No","Yes","Giving","No","Yes","Pragmatist","Yes","Yes","Hot headed","Odd hours","Yes","Happy","Yes","No","No","Yes","P.M.","Yes","End","Yes","Yes","Me","Yes","No","No","Yes","Yes","TMI","No","No","Tunes","Technology","Yes","Yes","No","No","Yes","Supportive","Yes","PC","No","Cautious","No","Yes!","No","Socialize","Yes","Online","No","No","Yes","Yes","Grrr people","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Own","Pessimist","Dad","Yes","No","Yes","Yes","Check!","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",65,17
68,1986,"Male","$50,000 - $74,999","Married (w/kids)","Bachelor's Degree","Republican","No","Yes","No","Yes","Yes","Yes","Public","Yes","Yes","No","Yes","No","No","Yes","Science","Study first","Yes","Yes","No","No","Receiving","No","No","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","Yes","Yes","Yes","No","A.M.","No","End","No","Yes","Circumstances","Yes","Yes","No","Yes","No","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","Yes","No","Demanding","Yes","Mac","No","Cautious","No","Umm...","No","Socialize","Yes","In-person","No","Yes","Yes","No","Grrr people","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Own","Pessimist","Dad","Yes","No","No","No","Check!","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No",84,28
79,1973,"Female","$75,000 - $100,000","Single (no kids)","Master's Degree","Democrat","Yes","No","No","Yes","No","Yes","Public","Yes","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","No","Yes","Yes","Yes","Giving","No","No","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","No","Yes","No","Yes","A.M.","Yes","End","Yes","No","Circumstances","No","No","No","Yes","No","Mysterious","No","No","Tunes","People","No","Yes","Yes","No","Yes","Supportive","Yes","PC","Yes","Risk-friendly","No","Umm...","No","Space","Yes","In-person","Yes","No","Yes","No","Grrr people","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","Own","Optimist","Dad","No","Yes","No","Yes","Nope","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No",97,41
90,1975,"Male","$75,000 - $100,000","Married (w/kids)","High School Diploma","Republican","No","Yes","No","Yes","No","No","Public","Yes","Yes","No","Yes","No","No","No","Science","Try first","No","Yes","Yes","No","Giving","No","Yes","Idealist","Yes","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","Yes","No","P.M.","Yes","End","Yes","Yes","Me","Yes","Yes","Yes","Yes","No","TMI","Yes","No","Talk","People","Yes","No","Yes","Yes","No","Demanding","No","PC","Yes","Risk-friendly","No","Yes!","No","Socialize","No","In-person","Yes","Yes","Yes","Yes","Grrr people","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","Own","Optimist","Dad","No","No","Yes","Yes","Nope","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes",96,39
93,1995,"Male","under $25,000","Single (no kids)","Current Undergraduate","Democrat","No","No","No","No","Yes","Yes","Private","No","Yes","No","Yes","Yes","Yes","Yes","Art","Study first","Yes","Yes","Yes","Yes","Receiving","Yes","Yes","Pragmatist","No","No","Cool headed","Odd hours","Yes","Happy","No","Yes","No","No","P.M.","Yes","End","Yes","No","Me","No","Yes","No","Yes","No","TMI","No","Yes","Tunes","People","Yes","Yes","No","No","No","Supportive","No","Mac","No","Cautious","Yes","Yes!","No","Socialize","Yes","In-person","No","No","Yes","No","Yay people!","No","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","Rent","Optimist","Mom","No","Yes","Yes","Yes","Check!","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No",62,19
98,1998,"Female","under $25,000","Single (no kids)","Current K-12","Republican","No","Yes","Yes","No","No","Yes","Public","Yes","No","No","No","No","Yes","No","Science","Try first","No","Yes","No","No","Giving","Yes","No","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","Yes","No","No","No","P.M.","Yes","Start","No","No","Circumstances","No","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","Technology","No","No","No","No","No","Supportive","No","Mac","No","Cautious","Yes","Yes!","No","Space","Yes","Online","No","Yes","No","Yes","Grrr people","No","No","Yes","No","No","No","Yes","No","No","No","No","No","Rent","Pessimist","Dad","No","No","Yes","Yes","Check!","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes",35,16
101,1960,"Male","$50,000 - $74,999","Single (w/kids)","Bachelor's Degree","Independent","No","No","No","Yes","No","No","Public","No","Yes","No","Yes","No","Yes","Yes","Science","Try first","No","No","No","Yes","Receiving","No","No","Idealist","No","No","Cool headed","Standard hours","No","Right","No","Yes","Yes","Yes","P.M.","No","Start","Yes","No","Me","No","Yes","No","Yes","No","Mysterious","No","No","Talk","People","No","No","Yes","Yes","No","Demanding","No","PC","Yes","Risk-friendly","No","Yes!","No","Socialize","No","In-person","Yes","No","Yes","Yes","Yay people!","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Own","Optimist","Dad","Yes","Yes","No","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes",41,54
107,1944,"Female","over $150,000","Married (w/kids)","Bachelor's Degree","Republican","No","No","No","No","Yes","Yes","Public","No","Yes","No","No","Yes","No","Yes","Art","Try first","Yes","No","Yes","Yes","Giving","Yes","No","Pragmatist","No","No","Cool headed","Odd hours","Yes","Right","No","Yes","No","No","P.M.","Yes","Start","Yes","Yes","Me","No","No","No","Yes","No","TMI","Yes","No","Talk","Technology","No","No","Yes","No","No","Supportive","No","Mac","Yes","Cautious","No","Umm...","No","Space","No","Online","Yes","No","Yes","No","Yay people!","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","Own","Optimist","Dad","No","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes",95,70
109,1985,"Male","$25,001 - $50,000","Married (no kids)","Bachelor's Degree","Other","No","No","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Study first","Yes","No","No","Yes","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Standard hours","No","Happy","Yes","Yes","Yes","Yes","A.M.","Yes","Start","No","Yes","Me","Yes","No","Yes","Yes","No","TMI","No","No","Tunes","Technology","No","Yes","Yes","No","No","Supportive","No","PC","Yes","Risk-friendly","Yes","Yes!","Yes","Socialize","Yes","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Rent","Optimist","Mom","Yes","Yes","Yes","Yes","Check!","Yes","No","No","No","No","No","Only-child","No","No","No",101,29
113,1976,"Male","under $25,000","Single (no kids)","High School Diploma","Libertarian","No","Yes","No","Yes","Yes","Yes","Public","No","Yes","Yes","No","No","Yes","No","Science","Try first","Yes","No","Yes","Yes","Giving","No","No","Pragmatist","No","No","Cool headed","Odd hours","No","Right","Yes","No","Yes","No","P.M.","Yes","End","Yes","Yes","Me","No","Yes","Yes","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","Yes","Yes","Yes","Demanding","No","PC","Yes","Risk-friendly","No","Umm...","No","Socialize","No","Online","Yes","No","Yes","Yes","Yay people!","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Rent","Optimist","Dad","No","Yes","Yes","Yes","Nope","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes",53,38
116,1979,"Female","$100,001 - $150,000","Single (no kids)","Doctoral Degree","Democrat","No","No","No","Yes","No","No","Private","Yes","Yes","No","No","Yes","Yes","Yes","Art","Study first","Yes","No","Yes","Yes","Giving","Yes","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","A.M.","Yes","Start","Yes","No","Me","Yes","Yes","No","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","No","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","Yes","Yes!","No","Socialize","Yes","In-person","No","Yes","Yes","Yes","Grrr people","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Rent","Optimist","Mom","No","No","Yes","Yes","Check!","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes",99,35
118,1981,"Female","$75,000 - $100,000","Domestic Partners (w/kids)","Bachelor's Degree","Democrat","Yes","Yes","No","No","No","No","Public","Yes","No","No","Yes","Yes","Yes","Yes","Science","Study first","No","Yes","No","No","Giving","Yes","Yes","Pragmatist","No","Yes","Hot headed","Odd hours","No","Right","Yes","Yes","No","No","P.M.","Yes","End","No","No","Me","No","No","No","Yes","No","TMI","No","No","Tunes","People","No","Yes","Yes","No","Yes","Demanding","No","PC","Yes","Cautious","Yes","Yes!","No","Space","No","In-person","No","No","Yes","No","Grrr people","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","Own","Optimist","Dad","No","No","Yes","No","Check!","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes",101,33
119,1993,"Female","$75,000 - $100,000","Single (no kids)","Current Undergraduate","Democrat","No","Yes","Yes","No","No","Yes","Public","No","No","No","No","No","No","Yes","Art","Try first","Yes","No","No","No","Giving","No","Yes","Pragmatist","No","No","Cool headed","Odd hours","No","Happy","Yes","Yes","No","Yes","P.M.","No","End","Yes","No","Circumstances","No","No","Yes","Yes","Yes","Mysterious","No","No","Tunes","People","No","No","Yes","Yes","Yes","Supportive","No","Mac","No","Risk-friendly","No","Umm...","No","Space","No","In-person","Yes","Yes","Yes","Yes","Grrr people","No","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","Own","Optimist","Mom","No","No","Yes","Yes","Nope","Yes","No","No","No","Yes","No","Yes","No","No","No",101,21
120,1965,"Male","$75,000 - $100,000","Domestic Partners (no kids)","Master's Degree","Democrat","No","Yes","No","No","Yes","Yes","Public","No","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","Yes","Yes","Yes","Yes","Giving","No","Yes","Idealist","No","No","Cool headed","Odd hours","Yes","Happy","Yes","Yes","Yes","No","A.M.","No","Start","Yes","No","Circumstances","No","No","Yes","No","No","Mysterious","Yes","Yes","Tunes","Technology","No","Yes","Yes","Yes","Yes","Demanding","Yes","PC","Yes","Cautious","Yes","Umm...","No","Space","Yes","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Own","Optimist","Mom","Yes","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No",99,49
126,1990,"Male","under $25,000","Single (no kids)","High School Diploma","Democrat","No","No","Yes","No","No","No","Public","Yes","No","Yes","Yes","Yes","Yes","Yes","Science","Study first","Yes","Yes","Yes","No","Receiving","No","Yes","Idealist","No","Yes","Cool headed","Standard hours","Yes","Happy","No","No","No","Yes","P.M.","No","End","Yes","Yes","Me","Yes","No","Yes","Yes","No","TMI","Yes","No","Talk","Technology","No","Yes","Yes","No","No","Demanding","No","PC","Yes","Risk-friendly","Yes","Umm...","Yes","Space","No","Online","Yes","No","Yes","Yes","Grrr people","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Own","Pessimist","Mom","No","No","Yes","Yes","Check!","No","No","No","Yes","Yes","No","Yes","No","No","No",26,24
131,1975,"Female","$50,000 - $74,999","Single (no kids)","Bachelor's Degree","Democrat","No","No","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","Yes","Yes","Art","Study first","Yes","Yes","Yes","No","Giving","No","No","Idealist","No","No","Cool headed","Standard hours","Yes","Happy","No","Yes","Yes","No","A.M.","No","Start","Yes","No","Me","No","No","Yes","Yes","No","Mysterious","No","No","Tunes","People","No","No","Yes","No","No","Supportive","No","Mac","Yes","Risk-friendly","Yes","Yes!","Yes","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Own","Optimist","Mom","No","No","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes",58,39
134,1994,"Female","$100,001 - $150,000","Single (no kids)","Current Undergraduate","Republican","No","No","No","No","No","Yes","Private","Yes","Yes","Yes","Yes","Yes","No","Yes","Science","Study first","No","Yes","Yes","Yes","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","P.M.","Yes","End","Yes","No","Circumstances","No","Yes","No","Yes","No","Mysterious","No","Yes","Tunes","People","Yes","No","Yes","Yes","Yes","Supportive","No","Mac","No","Cautious","Yes","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","Rent","Optimist","Dad","Yes","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes",81,20
135,1961,"Male","$100,001 - $150,000","Married (w/kids)","Bachelor's Degree","Independent","No","No","No","Yes","Yes","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Try first","No","No","No","Yes","Giving","No","No","Pragmatist","No","Yes","Cool headed","Odd hours","Yes","Right","No","Yes","Yes","No","P.M.","Yes","Start","No","No","Circumstances","No","Yes","Yes","Yes","No","TMI","Yes","No","Tunes","Technology","Yes","No","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","Yes","Online","Yes","Yes","Yes","Yes","Yay people!","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","Yes","Own","Optimist","Dad","Yes","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes",70,53
137,1952,"Female","over $150,000","Married (no kids)","Bachelor's Degree","Republican","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Study first","Yes","Yes","No","Yes","Receiving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","Yes","A.M.","Yes","End","Yes","No","Circumstances","No","Yes","Yes","No","No","TMI","No","No","Talk","Technology","No","Yes","No","No","Yes","Supportive","No","PC","No","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","Own","Pessimist","Mom","Yes","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes",101,62
139,1996,"Male","over $150,000","Single (no kids)","Current K-12","Libertarian","No","No","No","No","No","Yes","Public","Yes","No","No","No","No","Yes","Yes","Science","Try first","Yes","Yes","No","No","Receiving","Yes","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","No","Happy","Yes","No","No","Yes","P.M.","Yes","Start","Yes","No","Me","Yes","Yes","Yes","No","No","Mysterious","No","No","Tunes","People","No","Yes","Yes","No","Yes","Supportive","No","Mac","No","Cautious","No","Yes!","No","Space","Yes","In-person","No","No","Yes","Yes","Grrr people","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Own","Pessimist","Dad","No","No","Yes","Yes","Nope","No","No","No","Yes","Yes","Yes","Yes","No","No","No",101,18
